Web and marketing,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Total listening time estimate using March 2022 method (40% Apple up to Nov 2019 then '75% in the Big 3'),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"8,690","20,528","17,115","33,373","33,118","27,088","29,708","25,920","34,426","30,164","30,405","26,367","39,588","48,897","49,837","48,229","58,417","68,806","72,867","62,506"
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,+136%,-17%,+95%,-1%,-18%,+10%,-13%,+33%,-12%,+1%,-13%,+50%,+24%,+2%,-3%,+21%,+18%,+6%,-14%
Big 3 subscriber estimate at end of period,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"17,883","23,286","27,913","32,369","36,707","41,856","46,019","51,907","57,758","64,796","74,992","81,700"
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+30%,+20%,+16%,+13%,+14%,+10%,+13%,+11%,+12%,+16%,+9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job board,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Total core FTE direct only,0.003,0.004,0.004,0.004,0.04,0.09,0.09,0.08,0.09,0.19,0.23,0.23,0.32,0.32,0.32,0.32,0.31,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.48,0.40,0.50,0.5
Growth rate,NA,+50%,+0%,+0%,+1047%,+118%,+0%,-15%,+15%,+100%,+25%,+0%,+39%,+0%,+0%,+0%,-5%,+25%,+0%,+0%,-5%,+0%,+0%,+0%,+32%,-16%,+25%,
Vacancies published ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8,39,111,186,198,173,394,486,340,523,410,547,549,829,913,921,1050,1284,1021,962
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,+388%,+185%,+68%,+6%,-13%,+128%,+23%,-30%,+54%,-22%,+33%,+0%,+51%,+10%,+1%,+14%,+22%,-20%,-6%
Number of job board users (that have clicked on a vacancy),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"6,479","7,655","8,918","9,599","9,343","9,456","10,039","7,091","11,547","11,709","12,223","10,273","13,148","16,590","23,744","31,725"
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+18%,+16%,+8%,-3%,+1%,+6%,-29%,+63%,+1%,+4%,-16%,+28%,+26%,+43%,+34%
Number of newsletters sent out,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5,9,10,7,3,10,11,10
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+80%,+11%,-30%,-57%,+233%,+10%,-9%
Vacancy clicks ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"4,280","23,057","15,085","15,790","17,172","23,056","26,900","27,090","27,525","31,723","21,404","39,511","42,810","45,414","35,428","51,065","68,669","89,025","108,589"
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+439%,-35%,+5%,+9%,+34%,+17%,+1%,+2%,+15%,-33%,+85%,+8%,+6%,-22%,+44%,+34%,+30%,+22%
Avg clicks per user,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.24,2.59,2.80,2.90,2.91,3.16,3.02,3.42,3.66,3.72,3.45,3.88,4.14,3.75,3.42
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+16%,+8%,+4%,+0%,+9%,-4%,+13%,+7%,+2%,-7%,+12%,+7%,-9%,-9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One-on-one,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Total core FTE direct only advising,0.04,0.04,0.04,0.04,0.34,0.42,0.42,0.56,0.40,0.40,0.63,0.70,0.34,0.34,0.65,0.34,0.31,0.56,0.64,0.64,0.71,0.71,0.79,1.14,1.08,1.15,1.01,1.52
Total core FTE direct headhunting,0.000,0.000,0.000,0.000,0.010,0.011,0.011,0.012,0.038,0.038,0.184,0.192,0.468,0.468,0.468,0.468,0.451,0.451,0.451,0.451,0.078,0.078,0.028,0.078,0.00,0.00,0.33,0.25
Total core FTE both,0.04,0.04,0.04,0.04,0.35,0.43,0.43,0.58,0.44,0.44,0.82,0.89,0.81,0.81,1.12,0.81,0.76,1.01,1.09,1.09,0.79,0.79,0.82,1.22,1.08,1.15,1.34,1.77
Year on year growth rate,NA,+0%,+0%,+0%,+718%,+21%,+0%,+35%,-24%,+0%,+87%,+9%,-10%,+0%,+38%,-28%,-6%,+33%,+8%,+0%,-28%,+0%,+3%,+49%,-12%,+7%,+17%,+32%
Number of advising applications,Unknown,Unknown,Unknown,Unknown,Unknown,289,617,386,25,122,238,251,312,157,294,17,235,237,187,250,483,484,515,711,1495,1092,1662,1414
Growth rate,NA,NA,NA,NA,NA,NA,+113%,-37%,-94%,+388%,+95%,+5%,+24%,-50%,+87%,-94%,+1282%,+1%,-21%,+34%,+93%,+0%,+6%,+38%,+110%,-27%,+52%,-15%
Number of headhunting calls,0,0,0,0,0,0,0,0,0,1,0,29,81,133,101,32,47,90,47,1,0,0,0,0,0,0,0,0
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100%,NA,+179%,+64%,-24%,-68%,+47%,+91%,-48%,-98%,-100%,NA,NA,NA,NA,NA,NA,NA
Number of advising calls,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,150,51,54,34,51,64,59,58,104,1,48,53,101,82,169,199,176,287,311,419,357,338
Growth rate,NA,NA,NA,NA,NA,NA,NA,-66%,+6%,-37%,+50%,+25%,-8%,-2%,+79%,-99%,+4700%,+10%,+91%,-19%,+106%,+18%,-12%,+63%,+8%,+35%,-15%,-5%
Total number of one-on-one calls,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,150,51,54,35,51,93,140,191,205,33,95,143,148,83,169,199,176,287,311,419,357,338
Growth rate,NA,NA,NA,NA,NA,NA,NA,-66%,+6%,-35%,+46%,+82%,+51%,+36%,+7%,-84%,+188%,+51%,+3%,-44%,+104%,+18%,-12%,+63%,+8%,+35%,-15%,-5%
